시즌,상대팀,공격득점,블로킹득점,서브득점,팀범실,상대범실,전체득점,상대득점,디그성공,리시브정확,세트성공,공격성공률,리시브효율,경기시간,세트승,세트패,결과,김연경,김연경득점,김연경시도,김연경성공,김연경공격차단,김연경범실,김연경성공률,김연경점유율
10,KGC인삼공사,50,3,4,26,31,88,97,71,33,48,38.76,29.76,108,1,3,패,미출전,,,,,,,
10,IBK기업은행,56,7,5,31,26,94,108,103,27,53,33.94,16.49,126,2,3,패,미출전,,,,,,,
10,한국도로공사,65,6,3,29,37,111,103,118,33,62,37.57,32.22,133,3,2,승,미출전,,,,,,,
10,GS칼텍스,63,10,7,37,29,109,109,96,44,61,37.06,40.21,129,2,3,패,미출전,,,,,,,
10,현대건설,66,8,12,25,27,113,105,91,48,65,40.49,46.81,128,3,2,승,미출전,,,,,,,
10,한국도로공사,60,7,9,29,22,98,88,84,41,56,39.74,52.00,108,3,1,승,미출전,,,,,,,
10,현대건설,63,8,6,26,23,100,111,91,38,60,38.65,29.13,128,3,2,승,미출전,,,,,,,
10,GS칼텍스,57,3,6,19,15,81,97,61,32,57,45.24,23.08,102,1,3,패,미출전,,,,,,,
10,IBK기업은행,32,3,1,13,20,56,75,69,35,30,27.83,47.76,80,0,3,패,미출전,,,,,,,
10,KGC인삼공사,47,7,5,28,22,81,92,86,33,45,32.19,34.18,103,1,3,패,미출전,,,,,,,
10,한국도로공사,74,7,6,19,20,107,105,95,48,71,44.31,36.08,123,3,2,승,미출전,,,,,,,
10,KGC인삼공사,31,3,0,27,14,48,75,46,24,29,31.96,27.94,68,0,3,패,미출전,,,,,,,
10,한국도로공사,41,2,2,20,18,63,75,83,33,40,30.60,43.48,85,0,3,패,미출전,,,,,,,
10,IBK기업은행,38,2,7,22,16,63,75,58,25,33,36.89,30.77,80,0,3,패,미출전,,,,,,,
10,GS칼텍스,30,5,1,13,19,55,75,44,37,27,30.93,52.24,75,0,3,패,미출전,,,,,,,
10,현대건설,34,2,1,16,25,62,75,39,26,31,37.78,33.33,75,0,3,패,미출전,,,,,,,
10,한국도로공사,34,6,3,24,20,63,75,50,33,33,34.34,43.28,79,0,3,패,미출전,,,,,,,
10,KGC인삼공사,44,7,8,28,17,76,96,66,44,43,34.65,44.05,98,1,3,패,미출전,,,,,,,
10,IBK기업은행,32,5,0,21,13,50,75,64,27,31,30.77,32.31,75,0,3,패,미출전,,,,,,,
10,GS칼텍스,59,1,5,23,20,85,95,79,47,57,39.07,51.16,112,1,3,패,미출전,,,,,,,
10,KGC인삼공사,38,4,3,11,19,64,75,63,30,37,35.19,37.88,84,0,3,패,미출전,,,,,,,
10,현대건설,41,2,6,15,26,75,57,63,19,40,41.41,35.42,76,3,0,승,미출전,,,,,,,
10,IBK기업은행,31,1,8,20,12,52,75,64,26,29,28.97,27.27,76,0,3,패,미출전,,,,,,,
10,GS칼텍스,31,4,4,14,12,51,75,51,37,31,29.81,52.94,70,0,3,패,미출전,,,,,,,
10,KGC인삼공사,52,3,2,27,18,75,99,79,42,51,36.62,38.04,98,1,3,패,미출전,,,,,,,
10,GS칼텍스,41,4,3,21,15,63,80,51,33,38,39.81,44.29,81,0,3,패,미출전,,,,,,,
10,IBK기업은행,31,2,3,15,11,47,75,48,34,31,31.00,41.18,70,0,3,패,미출전,,,,,,,
10,현대건설,42,4,2,17,15,63,76,55,31,41,40.38,36.76,76,0,3,패,미출전,,,,,,,
10,현대건설,58,7,8,24,34,107,98,75,42,55,39.19,41.38,116,3,2,승,미출전,,,,,,,
10,한국도로공사,57,13,8,21,24,102,108,91,35,56,35.85,30.53,129,2,3,패,미출전,,,,,,,
11,GS칼텍스,63,10,7,19,32,112,105,101,50,59,39.62,42.70,135,3,2,승,미출전,,,,,,,
11,현대건설,49,10,3,21,20,82,91,70,38,49,39.52,40.48,100,1,3,패,미출전,,,,,,,
11,IBK기업은행,46,5,3,15,21,75,65,60,30,42,42.59,52.73,85,3,0,승,미출전,,,,,,,
11,한국도로공사,43,7,9,14,16,75,53,69,20,42,42.16,36.96,76,3,0,승,미출전,,,,,,,
11,KGC인삼공사,44,8,7,21,19,78,63,54,30,40,45.36,49.09,79,3,0,승,미출전,,,,,,,
11,한국도로공사,30,3,4,18,16,53,75,55,22,27,32.97,25.00,74,0,3,패,미출전,,,,,,,
11,IBK기업은행,60,5,8,30,26,100,114,93,40,52,36.14,24.51,132,2,3,패,미출전,,,,,,,
11,현대건설,62,8,8,28,26,104,116,98,43,58,35.63,30.91,136,2,3,패,미출전,,,,,,,
11,GS칼텍스,62,3,8,26,32,105,106,83,37,59,41.06,27.84,129,3,2,승,미출전,,,,,,,
11,KGC인삼공사,53,3,5,9,14,75,57,56,36,52,50.96,60.00,74,3,0,승,미출전,,,,,,,
11,KGC인삼공사,42,5,3,12,25,75,57,72,22,39,38.18,41.67,82,3,0,승,미출전,,,,,,,
11,한국도로공사,56,13,6,22,27,102,97,92,48,52,34.57,48.84,122,3,2,승,미출전,,,,,,,
11,IBK기업은행,68,7,9,21,22,106,109,95,51,66,40.00,45.00,133,2,3,패,미출전,,,,,,,
11,GS칼텍스,34,5,1,19,12,52,75,54,34,34,31.19,46.27,75,0,3,패,미출전,,,,,,,
11,현대건설,28,5,2,20,25,60,75,47,21,27,31.82,19.35,79,0,3,패,미출전,,,,,,,
11,IBK기업은행,40,6,4,22,27,77,87,60,27,37,35.40,31.43,98,1,3,패,미출전,,,,,,,
11,KGC인삼공사,57,4,6,25,20,87,99,70,48,56,38.78,47.31,102,1,3,패,미출전,,,,,,,
11,한국도로공사,30,4,3,26,17,54,75,49,31,28,30.61,40.00,72,0,3,패,미출전,,,,,,,
11,현대건설,46,9,6,7,35,96,80,45,32,43,45.10,38.24,102,3,1,승,미출전,,,,,,,
11,GS칼텍스,62,15,7,25,20,104,99,89,40,56,37.35,32.58,126,3,2,승,미출전,,,,,,,
11,한국도로공사,49,9,3,13,18,79,95,90,40,49,32.89,35.29,107,1,3,패,미출전,,,,,,,
11,IBK기업은행,49,7,3,20,17,76,67,59,31,49,43.75,44.44,92,3,0,승,미출전,,,,,,,
11,현대건설,24,6,0,17,16,46,76,49,27,24,24.49,27.14,70,0,3,패,미출전,,,,,,,
11,KGC인삼공사,68,8,4,27,23,103,104,94,40,64,39.08,34.74,126,2,3,패,미출전,,,,,,,
11,GS칼텍스,55,10,5,21,21,91,73,89,33,54,38.46,44.12,98,3,1,승,미출전,,,,,,,
11,현대건설,61,3,6,20,19,89,90,79,29,59,44.53,25.30,105,1,3,패,미출전,,,,,,,
11,GS칼텍스,56,8,1,14,29,94,89,84,35,54,38.89,35.00,116,3,1,승,미출전,,,,,,,
11,KGC인삼공사,59,7,6,21,22,94,80,75,46,56,43.07,59.72,101,3,1,승,미출전,,,,,,,
11,한국도로공사,43,7,8,16,17,75,50,59,22,38,43.00,43.18,69,3,0,승,미출전,,,,,,,
11,IBK기업은행,29,2,1,14,8,40,75,38,28,29,33.72,28.99,75,0,3,패,미출전,,,,,,,
12,현대건설,70,7,4,19,20,101,103,101,33,68,41.67,26.80,125,3,2,승,미출전,,,,,,,
12,KGC인삼공사,73,6,4,24,29,112,116,125,47,69,35.96,39.05,143,3,2,승,미출전,,,,,,,
12,IBK기업은행,31,10,4,26,17,62,75,48,31,31,32.98,45.16,78,0,3,패,미출전,,,,,,,
12,GS칼텍스,46,7,6,14,16,75,64,58,31,43,41.82,45.90,87,3,0,승,미출전,,,,,,,
12,한국도로공사,60,9,4,23,30,103,90,93,47,56,36.59,53.75,121,3,2,승,미출전,,,,,,,
12,현대건설,62,7,3,18,27,99,104,111,38,61,33.70,33.33,130,3,2,승,미출전,,,,,,,
12,IBK기업은행,40,4,4,19,8,56,77,70,26,38,33.33,26.09,78,0,3,패,미출전,,,,,,,
